Execution ID,Query,Start time,Status,Run time,Data scanned,Query engine version used,Encryption
44db2425-91b5-40fb-bdde-8ac869fff221,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T14:21:40.067-04:00,SUCCEEDED,1.027 sec,291.81 KB,Athena engine version 3,
cee47a68-c733-40c1-9690-95f67f8cf480,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T14:21:37.177-04:00,SUCCEEDED,1.082 sec,291.44 KB,Athena engine version 3,
7a66fcce-5e5d-4ef6-8f80-7eb13ad77039,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T14:21:33.653-04:00,SUCCEEDED,1.109 sec,290.70 KB,Athena engine version 3,
d27d73ef-5292-4b7d-a4e2-fdf531249d89,"select count(*) from ""stock-market "".""stock_market_vamc""",2024-05-30T14:21:26.821-04:00,SUCCEEDED,1.022 sec,289.36 KB,Athena engine version 3,
37f31472-808e-4f31-a28c-9948726449f0,"EXPLAIN (FORMAT JSON, TYPE DISTRIBUTED) select count(*) from ""stock_market_vamc""",2024-05-30T14:20:32.022-04:00,FAILED,218 ms,0 MB,Athena engine version 3,
72b6c050-b105-4dcb-9f4b-f208462145cb,"select count(*) from ""stock_market_vamc""",2024-05-30T14:20:27.184-04:00,FAILED,199 ms,0 MB,Athena engine version 3,
9fb1ef2c-a74e-428f-9010-6f64b064d70d,select count(*) from stock_market_vamc,2024-05-30T14:20:10.225-04:00,FAILED,247 ms,0 MB,Athena engine version 3,
6404438a-4cc8-4a12-a625-294c0ad82dab,"SELECT * FROM ""stock-market "".""stock_market_vamc"" limit 10",2024-05-30T14:17:23.848-04:00,SUCCEEDED,632 ms,5.29 KB,Athena engine version 3,
9417d8d7-aad1-47bd-a231-0fc0d836b50a,"SELECT * FROM ""stock-market"".""stock_market_vamc"" limit 10",2024-05-30T14:16:21.942-04:00,FAILED,192 ms,0 MB,Athena engine version 3,
ca188c66-ff50-41ba-a20d-a4a325a75e94,"SELECT * FROM ""stock-market"".""stock_market_vamc"" limit 10",2024-05-30T14:16:20.253-04:00,FAILED,208 ms,0 MB,Athena engine version 3,
5ebd4f1d-7f98-457a-8fff-57d8cc444306,"SELECT * FROM ""stock-market"".""stock_market_vamc"" limit 10",2024-05-30T14:16:18.681-04:00,FAILED,206 ms,0 MB,Athena engine version 3,
3493f920-18d7-458b-903c-1fcd474f7b23,"SELECT * FROM ""stock-market"".""stock_market_vamc"" limit 10",2024-05-30T14:14:19.099-04:00,FAILED,203 ms,0 MB,Athena engine version 3,
eda07c85-01a5-470a-a6c4-c6a58ebb7045,"SELECT COUNT(*) FROM ""stock-market"".""stock_market_vamc""",2024-05-30T14:10:39.565-04:00,FAILED,194 ms,0 MB,Athena engine version 3,
a84fe557-4c2a-48f4-8afa-139c28b6df4c,"SELECT COUNT(*) FROM ""stock-market"".""stock_market_vamc"" limit 10",2024-05-30T14:06:52.832-04:00,FAILED,279 ms,0 MB,Athena engine version 3,
27979a87-24df-4e47-8635-b4ae088ac12c,"select count(*) from ""stock-market"".""stock_market_vamc"" limit 10",2024-05-30T14:05:52.518-04:00,FAILED,196 ms,0 MB,Athena engine version 3,
4fe9ac6c-b484-4c5e-afa2-455aa1ab6c19,"select count(*) from ""stock_market_vamc""",2024-05-30T14:05:03.915-04:00,FAILED,201 ms,0 MB,Athena engine version 3,
9411db63-7777-410d-b29f-3b5859dde3fa,"select count(*) from ""stock-market """,2024-05-30T14:04:39.654-04:00,FAILED,207 ms,0 MB,Athena engine version 3,
f4486c43-13f5-4f83-954a-1bb9412adc44,"select count(*) from ""stock-market """,2024-05-30T14:04:25.881-04:00,FAILED,208 ms,0 MB,Athena engine version 3,
